,source_uri,isrc,year,month,monthly_streams,date
0,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16400446,2019,1,298,2019-01-01
1,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USEM38700071,2019,1,193,2019-01-01
2,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16490001,2019,1,1,2019-01-01
3,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16600488,2019,1,334,2019-01-01
4,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USA176600010,2019,1,8,2019-01-01
5,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16500449,2019,1,205,2019-01-01
6,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBAYE0601690,2019,1,200,2019-01-01
7,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMC16991138,2019,1,206,2019-01-01
8,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMC16546885,2019,1,13,2019-01-01
9,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16700534,2019,1,367,2019-01-01
10,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USC4R0817618,2019,1,379,2019-01-01
11,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16200263,2019,1,81,2019-01-01
12,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USEM39100488,2019,1,11,2019-01-01
13,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USA176610020,2019,1,238,2019-01-01
14,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USWWW0202698,2019,1,254,2019-01-01
15,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBF086600001,2019,1,152,2019-01-01
16,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBAYE0601423,2019,1,269,2019-01-01
17,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMC16532697,2019,1,358,2019-01-01
18,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USCA20001654,2019,1,315,2019-01-01
19,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USWWW0130327,2019,1,5,2019-01-01
20,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USPG19090023,2019,1,157,2019-01-01
21,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBA076800030,2019,1,132,2019-01-01
22,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,QMFMK1316006,2019,1,173,2019-01-01
23,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USA176460010,2019,1,50,2019-01-01
24,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBA076700020,2019,1,146,2019-01-01
25,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USLA19100004,2019,1,109,2019-01-01
26,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USCN10100759,2019,1,204,2019-01-01
27,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBUM71406026,2019,1,157,2019-01-01
28,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USAM16900906,2019,1,152,2019-01-01
29,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USLA19000001,2019,1,252,2019-01-01
30,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBF086900056,2019,1,137,2019-01-01
31,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USLA19300013,2019,1,71,2019-01-01
32,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USRH10902101,2019,1,145,2019-01-01
33,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMC16846563,2019,1,227,2019-01-01
34,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16100266,2019,1,336,2019-01-01
35,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USA171610080,2019,1,23,2019-01-01
36,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16600448,2019,1,12,2019-01-01
37,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USC4R0817604,2019,1,384,2019-01-01
38,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16400263,2019,1,363,2019-01-01
39,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USA176510160,2019,1,193,2019-01-01
40,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBUM71802712,2019,1,1,2019-01-01
41,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMC16419992,2019,1,13,2019-01-01
42,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USA171120052,2019,1,2,2019-01-01
43,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,QMFMK1317016,2019,1,14,2019-01-01
44,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USA175920030,2019,1,253,2019-01-01
45,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USCA26700181,2019,1,215,2019-01-01
46,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USAM10200063,2019,1,123,2019-01-01
47,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,US3M50121006,2019,1,205,2019-01-01
