,source_uri,date,monthly_streams,name
0,spotify:playlist:01cMmxcvXslRy2gw5ZYzcj,2018-04-01,9138,Blues Classics
1,spotify:playlist:01cMmxcvXslRy2gw5ZYzcj,2018-05-01,1825,Blues Classics
2,spotify:playlist:01cMmxcvXslRy2gw5ZYzcj,2018-06-01,11832,Blues Classics
3,spotify:playlist:01cMmxcvXslRy2gw5ZYzcj,2018-07-01,13782,Blues Classics
4,spotify:playlist:01cMmxcvXslRy2gw5ZYzcj,2018-08-01,15710,Blues Classics
5,spotify:playlist:01cMmxcvXslRy2gw5ZYzcj,2018-09-01,16204,Blues Classics
6,spotify:playlist:01cMmxcvXslRy2gw5ZYzcj,2018-10-01,19070,Blues Classics
7,spotify:playlist:01cMmxcvXslRy2gw5ZYzcj,2018-11-01,18151,Blues Classics
8,spotify:playlist:01cMmxcvXslRy2gw5ZYzcj,2018-12-01,15401,Blues Classics
9,spotify:playlist:01cMmxcvXslRy2gw5ZYzcj,2019-01-01,8421,Blues Classics
10,spotify:playlist:0SthmxKs98q9J7SYO2oYtO,2018-04-01,16579,Rock Hits
11,spotify:playlist:0SthmxKs98q9J7SYO2oYtO,2018-05-01,6702,Rock Hits
12,spotify:playlist:0SthmxKs98q9J7SYO2oYtO,2018-06-01,33624,Rock Hits
13,spotify:playlist:0SthmxKs98q9J7SYO2oYtO,2018-07-01,44205,Rock Hits
14,spotify:playlist:0SthmxKs98q9J7SYO2oYtO,2018-08-01,46430,Rock Hits
15,spotify:playlist:0SthmxKs98q9J7SYO2oYtO,2018-09-01,42450,Rock Hits
16,spotify:playlist:0SthmxKs98q9J7SYO2oYtO,2018-10-01,47080,Rock Hits
17,spotify:playlist:0SthmxKs98q9J7SYO2oYtO,2018-11-01,37951,Rock Hits
18,spotify:playlist:0SthmxKs98q9J7SYO2oYtO,2018-12-01,38103,Rock Hits
19,spotify:playlist:0SthmxKs98q9J7SYO2oYtO,2019-01-01,19810,Rock Hits
