,user_gender,user_age_group,user_count,user_%
21,male,25-34,1879376,32.62900157001079
11,female,18-24,1719729,29.857271903543037
12,female,25-34,1710131,29.690635127789296
20,male,18-24,1568594,27.2333242995066
22,male,35-44,781602,13.569872598736804
13,female,35-44,701257,12.174953683552978
23,male,45-54,397364,6.898880575183343
14,female,45-54,336256,5.837947037700572
24,male,55-64,223794,3.885425150347241
10,female,13-17,173208,3.007170520395296
15,female,55-64,136069,2.3623775203204675
19,male,13-17,105869,1.8380567631040692
3,,25-34,68205,1.1841489154286244
25,male,65+,62358,1.082635555579476
2,,18-24,53197,0.9235858053523427
16,female,65+,44355,0.7700744101434885
26,male,Unknown,39449,0.6848983295175398
4,,35-44,38739,0.6725715832386112
17,female,Unknown,32219,0.5593738568461968
5,,45-54,11845,0.2056483234843788
8,,Unknown,6671,0.1158193301784965
1,,13-17,6647,0.11540265143103975
6,,55-64,3088,0.05361266550610062
7,,65+,2539,0.04408113915802767
18,male,0-12,399,0.006927284176468311
9,female,0-12,122,0.002118116966238431
0,,0-12,8,0.00013889291581891351
