,user_postal_code,user_count
0,,4343257
118,123,561191
95,100,315632
845,917,208554
868,941,202617
107,112,191367
872,945,152406
829,900,151412
18,021,132691
867,940,132175
108,113,131972
878,951,97537
906,980,94693
907,981,85017
578,606,76932
854,926,60524
877,950,60513
849,921,52229
723,770,45384
823,891,42867
703,750,42520
856,928,38542
186,191,37115
898,972,36774
66,070,36662
838,910,34359
295,303,33474
21,024,33233
292,300,32969
69,073,32164
465,481,32139
883,956,31902
873,946,31434
726,774,28700
874,947,28412
831,902,27854
739,787,27474
147,152,25728
98,103,24891
112,117,24345
885,958,24241
84,088,23853
590,618,23255
839,911,23125
202,208,22789
848,920,22354
841,913,21942
846,918,21907
530,554,21147
797,852,21106
213,220,20663
923,998,20366
894,968,18876
572,600,18254
870,943,18187
835,906,17986
705,752,17946
195,201,17621
106,111,17565
896,970,17472
871,944,16891
192,198,16477
323,331,16307
194,200,16282
602,631,15989
416,432,15766
105,110,14865
573,601,14346
185,190,14170
206,212,14066
853,925,14023
577,605,13681
109,114,13466
267,275,13372
514,537,13082
855,927,12769
528,551,12435
754,802,12329
110,115,12230
81,085,12081
322,330,12081
99,104,11943
893,967,11766
836,907,11749
35,038,11662
795,850,11649
463,479,11637
163,168,11241
274,282,11171
215,222,11129
269,277,11110
19,022,11055
752,800,11005
574,602,11001
858,931,10867
884,957,10460
738,786,10459
425,441,10440
72,076,10402
141,146,10352
713,760,10317
201,207,10285
191,197,10268
788,840,10248
464,480,10241
734,782,10227
899,973,10177
15,018,10052
14,017,9649
725,773,9569
7,010,9548
753,801,9406
143,148,9322
204,210,9284
26,029,9158
100,105,9116
214,221,9022
801,857,8765
326,334,8656
73,077,8319
472,488,8317
320,328,8241
880,953,8202
17,020,8201
64,068,8149
908,982,8139
851,923,8032
900,974,7978
876,949,7920
646,681,7904
318,326,7804
662,705,7697
789,841,7623
222,229,7596
834,905,7503
268,276,7500
127,132,7473
76,080,7454
117,122,7443
325,333,7379
137,142,7330
467,483,7203
576,604,7101
75,079,7048
414,430,7036
61,065,6943
328,336,6747
727,775,6663
458,474,6641
334,342,6517
875,948,6493
434,450,6476
319,327,6444
730,778,6246
60,064,6246
798,853,6209
216,223,6192
912,986,6046
685,730,6023
360,372,6001
203,209,5920
511,532,5904
910,984,5892
847,919,5844
757,805,5828
909,983,5814
188,194,5681
755,803,5678
13,016,5657
837,908,5643
96,101,5601
714,761,5589
529,553,5588
56,060,5530
366,379,5439
314,322,5399
808,871,5357
628,662,5329
85,089,5320
70,074,5269
