,user_dma_number,user_dma_name,user_postal_code,user_count,user_%
23379,803,Los Angeles,,883501,15.339003752365738
24143,807,San Francisco-Oak-San Jose,,745386,12.941104368824583
162,501,New York,,683728,11.87062194337926
27965,Unknown,,,370687,6.435724785770698
24029,803,Los Angeles,917,174799,3.0347928490287828
24780,807,San Francisco-Oak-San Jose,941,150623,2.615058457424026
264,501,New York,112,149242,2.5910820678307864
25028,819,Seattle-Tacoma,,144293,2.5051594377823108
252,501,New York,100,142969,2.482172660214281
1787,506,Boston (Manchester),,131195,2.2777570113577945
24784,807,San Francisco-Oak-San Jose,945,115009,1.996741919427178
12869,602,Chicago,,112541,1.9538934548970428
265,501,New York,113,109049,1.893266697142087
3020,511,"Washington, DC (Hagrstwn)",,108178,1.8781447309323032
24779,807,San Francisco-Oak-San Jose,940,105051,1.8238549624615852
23484,803,Los Angeles,123,98681,1.7132614782407753
24245,807,San Francisco-Oak-San Jose,123,95199,1.6528083366305932
954,504,Philadelphia,,94740,1.644839355585483
15682,623,Dallas-Ft. Worth,,94661,1.6434677880417712
24013,803,Los Angeles,900,93886,1.6300125368218141
275,501,New York,123,93109,1.6165225623729023
25540,819,Seattle-Tacoma,980,76048,1.3203160577745918
26658,862,Sacramnto-Stkton-Modesto,,71009,1.2328308824231535
28043,Unknown,,100,68624,1.19142343189464
14990,618,Houston,,67724,1.1757979788650124
24790,807,San Francisco-Oak-San Jose,951,67151,1.1658497737694826
5313,524,Atlanta,,66066,1.1470124220615423
1803,506,Boston (Manchester),021,63781,1.1073411329807652
25541,819,Seattle-Tacoma,981,63063,1.094875493786018
13293,602,Chicago,606,54541,0.9469198152099201
24038,803,Los Angeles,926,47967,0.832784561635728
24789,807,San Francisco-Oak-San Jose,950,44107,0.7657687297531022
23461,803,Los Angeles,100,38532,0.6689777290417969
25873,825,San Diego,,33071,0.5741659523809111
15326,618,Houston,770,32473,0.5637837069234473
24040,803,Los Angeles,928,32211,0.5592349639303779
25559,820,"Portland, OR",,31671,0.5498596921126012
16121,623,Dallas-Ft. Worth,750,31300,0.543418533141499
6277,528,Miami-Ft. Lauderdale,,30267,0.5254839853863819
21666,753,Phoenix (Prescott),,29466,0.5115773321900131
24022,803,Los Angeles,910,29131,0.5057611913400961
1420,505,Detroit,,27388,0.47549989730605036
223,501,New York,070,27236,0.472860931905491
14138,613,Minneapolis-St. Paul,,26194,0.4547701296200775
26263,839,Las Vegas,,25938,0.4503255563138723
24223,807,San Francisco-Oak-San Jose,100,25780,0.4475824212264488
226,501,New York,073,25633,0.4450302638982762
