Release Date,UPC,Title/Theme
11/23/2016,00602557103601,Christmas
12/9/2016,00602557342697,Christmas Blues
12/9/2016,00602557342703,Christmas Jazz
1/27/2017,00602557414387,Crowd Pleasers
2/3/2017,00602557437638,Let Me Love You Old School
2/10/2017,00602557449297,Hip Hop Hit List
2/17/2017,00602557462098,Shut Up Lets Dance
2/24/2017,00602557474404,Fiesta Latina
3/3/2017,00602557530711,Hip Hop Hit List (Re-release)
5/26/2017,00602557688849,Blues Gold
5/26/2017,00602557688870,Jazz
5/26/2017,00602557769975,New York City Groove
6/16/2017,00602557728101,Reggaeton Duro
6/2/2017,00602557728156,Summer Songs
6/9/2017,00602557728132,Hip Hop Hit List Vol. 2
6/9/2017,00602557728149,Shape Of Pop
6/16/2017,00602557760514,Indie Spotlight
6/16/2017,00602557772456,Acoustic Pop Edition
6/23/2017,00602557784459,Gaming Flow
6/30/2017,00602557814729,Summer Dance Vibe
6/30/2017,00602557814477,Chill Rap
7/7/2017,00602557824230,R & Bae
7/7/2017,00602557785111,90s Hip Hop
7/7/2017,00602557779721,90s Mixtape
7/14/2017,00602557785661,90s R&B
7/21/2017,00602557824247,Man Crush Monday
7/21/2017,00602557760446,Woman Crush Wednesday
7/21/2017,00602557863697,Smokey Romantic
7/21/2017,00602557828498,70s Mixtape
7/28/2017,00602557866650,Bailar Y Gozar
7/28/2017,00602557866667,La Nueva Raza
7/28/2017,00602557828528,80s Mixtape
7/28/2017,00602557890945,Summer Dance Vibe
8/4/2017,00602557830828,00s Mixtape
8/4/2017,00602557894608,Background Music
8/4/2017,00602557897586,Indie Radio
8/11/2017,00602557897555,21st Century Funk
8/11/2017,00602557939132,Beat The Heat Country Summer Jams
8/18/2017,00602557939125,Underground Rap
8/18/2017,00602557954890,Summer Songs (Re-Release)
8/18/2017,00602557954920,Electronic Chill
8/18/2017,00602557954951,Summer Road Trip
8/25/2017,00602557971569,Remixed And Redone
8/25/2017,00602557971576,Blue Note: The New Groove
8/25/2017,00602557971590,Catch Feels
9/1/2017,00602557760347,Pop Royalty
9/1/2017,00602567002147,Deep Songwriters
9/1/2017,00602567001997,Unforgettable Hip Hop
9/8/2017,00602557954913,80s Today
9/15/2017,00602567022633,Hip Hop Alternative
9/15/2017,00602567014539,Christmas Rock
9/15/2017,00602557963885,Christmas Hip Hop 'N R&B
9/15/2017,00602567016397,Tailgate
9/22/2017,00602567052272,Dinner Party
9/22/2017,00602557971583,This Is Aftercluv
9/22/2017,00602567022664,Pastel Goth
9/22/2017,00602567053033,Heartbreak
9/29/2017,00602567074533,Electronic Indie
9/29/2017,00602567028420,Classic Blue Note: The Ballads
9/29/2017,00602567071068,Soul Jazz
10/6/2017,00602567082101,Hear Us Roar
10/6/2017,00602567078302,Study Music
10/6/2017,00602567082118,Workout Dance Tempo
10/6/2017,00602567089186,Rock Icons
10/6/2017,00602567075882,Classic Rock Radio
10/6/2017,00602567029588,Classic Blue Note: The Hits
10/13/2017,00602567067467,What A Wonderful World
10/13/2017,00602567078500,Women In Jazz
10/13/2017,00602567093008,Classic Power Ballads
10/13/2017,00602567108252,Verified Hits
10/20/2017,00602567109013,Sit Down Be Focused
10/20/2017,00602567135623,Fresh Edge
10/20/2017,00602567135784,R&B Alternative
10/20/2017,00602567112389,New Wave HIts Of The 80s
10/27/2017,00602567136101,Halloween Music
10/27/2017,00602567153481,Christmas Pop
10/27/2017,00602567153764,Christmas Country
10/27/2017,00602567126652,Rap Classics
11/3/2017,00602567074564,Música de Amor
11/3/2017,00602567161691,Hip Hop Hit List Vol. 3
11/3/2017,00602567161707,Rebel Just For Kicks
11/3/2017,00602567161837,Road Trip Sing-Along Songs
11/3/2017,00602567118893,Motown Classics
11/10/2017,00602567228479,Perfect Pop
11/10/2017,00602567132547,Hip Hop 2000
11/10/2017,00602567228646,Alt - tronica
11/17/2017,00602567251835,Hip Hop Love Songs
Dec 1st 2017,00602567171270,Motown Queens
Dec 1st 2017,00602567171706,90's Rock
12/8/2017,00602567272113,A Hollywood Christmas
12/8/2017,00602567272366,Best of 2017
12/8/2017,00602567272311,Best of 2017 Rock
