,upc,sub_account_name,year,month,euro_amount,total_streams
0,00600406836304,Deezer,2018,9,0.025510187027975917,6
1,00600406836304,Deezer,2018,10,0.019110433058813214,4
2,00600406836304,Deezer,2018,11,0.005314202513545752,1
3,00600406836304,Deezer,2018,12,0.010173605987802148,2
4,00600406836304,Deezer,2019,1,0.0051911757327616215,1
5,00600406836304,Spotify,2018,9,11.46000715709001,7715
6,00600406836304,Spotify,2018,10,8.668367512360016,6399
7,00600406836304,Spotify,2018,11,10.530388178770018,7665
8,00600406836304,Spotify,2018,12,12.617754814759992,7333
9,00600406836304,Spotify,2019,1,2.13780883473,1274
10,00600406836311,Deezer,2018,9,0.32111884420737624,54
11,00600406836311,Deezer,2018,10,0.16661871690303087,28
12,00600406836311,Deezer,2018,11,0.1132090874016285,19
13,00600406836311,Deezer,2018,12,0.07780553260818124,13
14,00600406836311,Deezer,2019,1,0.010784623213112354,2
15,00600406836311,Spotify,2018,9,5.9123301126000065,9265
16,00600406836311,Spotify,2018,10,4.870180929780016,8191
17,00600406836311,Spotify,2018,11,3.8617611445700013,6619
18,00600406836311,Spotify,2018,12,3.105427268270001,5091
19,00600406836311,Spotify,2019,1,0.7505075684300001,1214
20,00600406836335,Spotify,2018,9,0.0010341738,1
21,00600406836342,Deezer,2018,9,15.64049636083655,4860
22,00600406836342,Deezer,2018,10,12.365713670966215,4479
23,00600406836342,Deezer,2018,11,15.325094283092767,4820
24,00600406836342,Deezer,2018,12,14.503418027656153,4584
25,00600406836342,Deezer,2019,1,2.706846402725205,996
26,00600406836342,Spotify,2018,9,92.56150413676004,41162
27,00600406836342,Spotify,2018,10,56.60902505944997,30445
28,00600406836342,Spotify,2018,11,88.21959836762007,39894
29,00600406836342,Spotify,2018,12,78.38402869292017,36047
30,00600406836342,Spotify,2019,1,16.54793624110002,8399
31,00600406836359,Deezer,2018,9,1.8915071545634419,573
32,00600406836359,Deezer,2018,10,1.5529409700538963,436
33,00600406836359,Deezer,2018,11,1.4536469550803304,392
34,00600406836359,Deezer,2018,12,0.8432397795841098,252
35,00600406836359,Deezer,2019,1,0.1281485422514379,38
36,00600406836359,Spotify,2018,9,20.867476237149997,27292
37,00600406836359,Spotify,2018,10,20.329805793869994,26618
38,00600406836359,Spotify,2018,11,21.161753950499968,23638
39,00600406836359,Spotify,2018,12,18.728892809270004,22726
40,00600406836359,Spotify,2019,1,4.547753939329994,6197
