playlist_id	Contents/New Music/Frontline	Popularity/Greatest Hits/Best Of...	Playlist/Mood/Confident	Playlist/Time/Time Of Day/Morning	Playlist/Activity/Dancing	Emotion/Attitude/Anthemic	Playlist/Theme/Hero	Genre/Electronic/Downtempo/Ambient	Playlist/Time/Decade/1980s	Playlist/Time/Time Of Day/Afternoon	Playlist/Time/Decade/1990s	Emotion/Positive/Sweet	Emotion/Attitude/Lighthearted	Playlist/Activity/Dinner	Playlist/Mood/Free	Playlist/Time/Time Of Day/Night	Playlist/Mood/Dramatic	Playlist/Time/Day Of Week/Saturday	Ensemble/Ensemble Timbre/Acoustic	Instrument/Organ	Playlist/Time/Day Of Week/Weekend	Arrangement/A Cappella	Ensemble/Ensemble Configuration/Orchestra	Playlist/Activity/Study/Focus	Playlist/Time/Time Of Year/Season/Winter	Playlist/Theme/Timeless Classics	Playlist/Time/Century/2000s	Playlist/Activity/Working Out	Playlist/Mood/Sad	Playlist/Time/Time Of Day/Late Night	Playlist/Mood/Rainy Day	Playlist/Activity/Karaoke/Sing-Along	Playlist/Time/Time Of Day/Early Morning	Playlist/Mood/Romantic	Ensemble/Ensemble Timbre/Electronic/Synthetic	Instrument/Keyboard	Playlist/Theme/Enlightenment	Playlist/Time/Decade/2010s	Playlist/Mood/Mellow	Playlist/Time/Holiday/Mother's Day	Emotion/Attitude/Sentimental	Emotion/Positive/Sensual	Instrument/Drum Set	Popularity/Deep Cuts/B-Sides	Playlist/Activity/Relaxing	Ensemble/Ensemble Configuration/Voice & Accompaniment	Playlist/Time/Day Of Week/Monday	Emotion/Attitude/Suspenseful	Playlist/Time/Time Of Year/Season/Spring	Popularity/Rising/New Music	Artist/Ensemble/Multiple Artist	Playlist/Mood/Happy	Instrument/Guitar/Electric Guitar	Playlist/Mood/Empowered	Playlist/Time/Holiday/Valentine's Day	Tempo/Slow	Contents/Catalog	Instrument/Piano	Playlist/Mood/Low-Key	Genre/R&B/Funk	Playlist/Activity/Running	Emotion/Attitude/Intimate	Playlist/Activity/Break-up	Playlist/Mood/Peaceful	Playlist/Activity/Driving	Playlist/Time/Decade/1970s	Tempo/Fast	Instrument/Strings	Emotion/Positive/Uplifting	Popularity/Charts/Hits	Playlist/Time/Holiday/Easter	Playlist/Activity/Hanging Out	Playlist/Time/Time Of Day/Evening	Playlist/Activity/Yoga	Playlist/Mood/Angry	Instrument/Drum Machine	Emotion/Attitude/Dreamy	Genre/Rock/Punk	Playlist/Activity/Drinking	Arrangement/Instrumental	Playlist/Mood/Chill	Instrument/Percussion	Playlist/Theme/Soundtrack	Playlist/Theme/Bar Rock	Ensemble/Ensemble Timbre/Electric	Playlist/Time/Day Of Week/Sunday	Playlist/Activity/Celebration	Artist/Ensemble/Single Artist	Playlist/Mood/Motivated	Playlist/Activity/Party	Ensemble/Ensemble Configuration/Jazz Combo	Playlist/Time/Time Of Year/Season/Autumn	Emotion/Attitude/Serious	Playlist/Time/Day Of Week/Wednesday	Playlist/Theme/Technology	Playlist/Mood/Inspiring	Playlist/Activity/Meditation	Genre/Rock/Metal	Genre/World	Playlist/Time/Holiday/Christmas	Playlist/Theme/Nightmare	Playlist/Activity/Travel	Playlist/Mood/Swagger	Playlist/Time/Day Of Week/Friday	Emotion/Negative/Melancholic	Playlist/Theme/Peace	Playlist/Activity/Sleeping	Emotion/Attitude/Playful	Contents/Mixed (New/Old)	Emotion/Attitude/Mysterious	Ensemble/Ensemble Configuration/Pop Band	Arrangement/Voice & Music	Playlist/Theme/Faith	Ensemble/Ensemble Configuration/Big Band	Playlist/Mood/Dark	Playlist/Theme/Children's Music	Playlist/Mood/Energized	Playlist/Time/Decade/1960s	Playlist/Activity/Dating	Playlist/Theme/Christian	Playlist/Time/Time Of Year/Season/Summer	Playlist/Time/Decade/1950s	Instrument/Wind	Playlist/Mood/Feeling Good	Playlist/Time/Holiday/New Year
00Ot5pBIr1CuAlAJUivoOK	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
00baB9PVWDBii7jtGvrPCs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
00e2vXzWaSmxJ1Fga6l2ug	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
00pQXl7juKerBcxIM8l6kn	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
00xkZo0UVb5tsXPj2I9DZz	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0156tLfZJwb6CDgXRTfzT5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
01DbkmjFPYPeZyw7MxBal5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
01cMmxcvXslRy2gw5ZYzcj	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
03v08073YFtriJYto8uO1K	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
049Htl8YyOrScgwMUgXzFq	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
