,isrc,track_artist,track_title,country_name,region,saves,saves_perc,skips,skips_perc,streams,users,recommendation_scores,current_playlist_position,major_label,label_studio,content_provider_name
0,GBAMB7100001,Elton John,Tiny Dancer,New Zealand,AuNz,2927687.0,0.0329383578,41199260.0,0.4635181175,"88,883,818","590,728",top1,,,,
1,USWD11677601,Alessia Cara,How Far I'll Go - Alessia Cara Version,New Zealand,AuNz,1805570.0,0.03416010889,35672310.0,0.6760252640000001,"56,672,364","761,862",top2,,,,
2,USWD11366376,Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version",New Zealand,AuNz,872498.0,0.030802216969999997,17298028.0,0.5457688992999999,"33,695,486","441,386",top3,8.0,,,
3,USDW10500001,Lifehouse,You And Me,New Zealand,AuNz,685100.0,0.02731438834,12791880.0,0.4951773094,"26,919,440","215,760",top4,,,,
4,USWD11778859,"Ariana Grande, John Legend",Beauty and the Beast,New Zealand,AuNz,794190.0,0.03301016297,19673326.0,0.7767290572,"25,328,428","447,442",top5,11.0,,,
5,USWD10423000,"Lea Salonga, Brad Kane","A Whole New World - From ""Aladdin"" / Soundtrack Version",New Zealand,AuNz,586600.0,0.029923604500000003,12896350.0,0.625247126,"22,468,850","515,525",top6,6.0,,,
6,USWD11677860,Dwayne Johnson,You're Welcome,New Zealand,AuNz,531730.0,0.03629444986,7822080.0,0.4996748672,"18,218,630","134,990",top7,3.0,UMG,Walt Disney Records,umgglobal
7,USWD11677855,Auli'i Cravalho,"How Far I'll Go - From ""Moana""",New Zealand,AuNz,463970.0,0.035584651989999994,7914340.0,0.5477733548,"16,549,220","160,870",top8,1.0,UMG,Walt Disney Records,umgglobal
8,USWD10220463,Samuel E. Wright,"Under the Sea - From ""The Little Mermaid""",New Zealand,AuNz,435636.0,0.032705760619999996,8101890.0,0.5957217086,"15,011,604","337,464",top9,16.0,UMG,Walt Disney Records,umgglobal
9,USWD10321345,"Jason Weaver, Rowan Atkinson, Laura Williams","I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version",New Zealand,AuNz,352464.0,0.0324655577,5866284.0,0.5344250818999999,"12,433,464","186,672",top10,12.0,UMG,Walt Disney Records,umgglobal
10,USWD11054842,"Mandy Moore, Zachary Levi","I See the Light - From ""Tangled""",New Zealand,AuNz,333127.0,0.029828142489999997,7237993.0,0.6014604418,"12,034,030","253,745",top11,10.0,UMG,Walt Disney Records,UMI
11,NZSO01600013,"Vai Mahina, Sulata Foai-Amiatu, Matthew Ineleo",An Innocent Warrior,New Zealand,AuNz,608724.0,0.06724611762999999,5283452.0,0.5257005352,"11,683,971","351,500",top12,,UMG,Walt Disney Records,UMI
12,USWD10220403,Jodi Benson,"Part of Your World - From ""The Little Mermaid"" / Soundtrack Version",Australia,AuNz,290840.0,0.02529373397,6345660.0,0.5518685046,"11,498,500","236,860",top13,20.0,UMG,Universal Music Asia Pacific,UMI
13,USWD11366344,Demi Lovato,"Let It Go - From ""Frozen / Single Version",New Zealand,AuNz,576432.0,0.05839446892999999,7552944.0,0.7034372052,"11,045,556","593,208",top14,45.0,UMG,Walt Disney Records,UMI
14,USWD11366375,"Kristen Bell, Santino Fontana","Love Is an Open Door - From ""Frozen""/Soundtrack Version",Australia,AuNz,313573.0,0.028395519530000003,5353946.0,0.4848251547,"11,043,045","154,427",top15,32.0,UMG,Walt Disney Records,Universal
15,NZSO01100005,"Olivia Foa'i, Opetaia Foa'i, Talaga Steve Sale",Logo Te Pate,New Zealand,AuNz,189736.0,0.07246110585,1238020.0,0.47280588960000003,"2,618,453","218,411",top16,,UMG,Walt Disney Records,UMI
16,USWD11677853,Olivia Foa'i,Tulou Tagaloa,New Zealand,AuNz,187997.0,0.08297948785,1508083.0,0.6656486804,"2,265,584","243,275",top17,,UMG,Walt Disney Records,Universal
17,USWD11677600,Jordan Fisher,You're Welcome - Jordan Fisher/Lin-Manuel Miranda Version,New Zealand,AuNz,171435.0,0.08744466327,1067946.0,0.5447322796,"1,960,497","199,419",top18,,UMG,Walt Disney Records,UMI
18,USWD11038146,Nick Jonas,Introducing Me,New Zealand,AuNz,83307.0,0.043842974289999996,1254498.0,0.6602197122,"1,900,122","125,811",top19,,UMG,Walt Disney Records,umgglobal
