,track_artist,country_name,isrc,region,saves,saves_perc,skips,skips_perc,streams,track_title,users,days_on_playlist,playlist_uri,scores,artist,title,seed_playlist_uri
0,Alessia Cara,Belgium,USWD11677601,Belgium,329954.0,0.05126797154075517,3512834.0,0.5458211554925753,6435870.0,How Far I'll Go - Alessia Cara Version,497496.0,50.0,Belgium,,,,
1,Elton John,Belgium,GBAMB7100001,Belgium,113693.0,0.03267196078893418,1314009.0,0.3776068053820958,3479834.0,Tiny Dancer,182491.0,50.0,Belgium,,,,
2,"Ariana Grande, John Legend",Belgium,USWD11778859,Belgium,156630.0,0.06190683975128177,1971054.0,0.7790443983855132,2530092.0,Beauty and the Beast,280554.0,50.0,Belgium,,,,
3,Idina Menzel,Belgium,USWD11366376,Belgium,124608.0,0.050230578219226676,1461262.0,0.5890475345867329,2480720.0,"Let It Go - From ""Frozen""/Soundtrack Version",183326.0,50.0,Belgium,,,,
4,Idina Menzel,Belgium,USWD11366376,Belgium,84960.0,0.050230578219226676,996315.0,0.5890475345867329,1691400.0,"Let It Go - From ""Frozen""",124995.0,50.0,Belgium,,,,
5,Demi Lovato,Belgium,USWD11366344,Belgium,154224.0,0.09007190614355999,1330776.0,0.7772171060930996,1712232.0,"Let It Go - From ""Frozen / Single Version",430056.0,50.0,Belgium,,,,
6,"Lea Salonga, Brad Kane",Belgium,USWD10423000,Belgium,82400.0,0.049828412475244534,1020850.0,0.6173220251863274,1653675.0,"A Whole New World - From ""Aladdin""",214225.0,50.0,Belgium,,,,
7,"Lea Salonga, Brad Kane",Belgium,USWD10423000,Belgium,56032.0,0.049828412475244534,694178.0,0.6173220251863274,1124499.0,"A Whole New World - From ""Aladdin"" / Soundtrack Version",145673.0,50.0,Belgium,,,,
8,"Lea Salonga, Brad Kane",Belgium,USWD10423000,Belgium,42848.0,0.049828412475244534,530842.0,0.6173220251863274,859911.0,A Whole New World,111397.0,50.0,Belgium,,,,
9,Lifehouse,Belgium,USDW10500001,Belgium,30820.0,0.02391965727058239,482060.0,0.3741307587234571,1288480.0,You And Me,89180.0,50.0,Belgium,,,,
10,"Demi Lovato, Joe Jonas",Belgium,USWD10833742,Belgium,67284.0,0.0642509074137205,835779.0,0.7981029538572603,1047207.0,This Is Me,226821.0,50.0,Belgium,,,,
11,"Demi Lovato, Joe Jonas",Belgium,USWD10833742,Belgium,51264.0,0.0642509074137205,636784.0,0.7981029538572603,797872.0,"This Is Me - From ""Camp Rock""",172816.0,50.0,Belgium,,,,
12,Auli'i Cravalho,Belgium,USWD11677855,Belgium,47320.0,0.045339567683581175,519110.0,0.4973842557105626,1043680.0,How Far I'll Go,58880.0,50.0,Belgium,,,,
13,Samuel E. Wright,Belgium,USWD10220463,Belgium,50994.0,0.04917207623147152,665190.0,0.6414239594542993,1037052.0,"Under the Sea - From ""The Little Mermaid""",198360.0,50.0,Belgium,,,,
14,Dwayne Johnson,Belgium,USWD11677860,Belgium,36880.0,0.04034392981381408,460330.0,0.5035661933620671,914140.0,You're Welcome,55910.0,50.0,Belgium,,,,
15,Céline Dion,Belgium,USWD11778858,Belgium,74980.0,0.08257345491388045,535946.0,0.5902228976697061,908040.0,How Does A Moment Last Forever,176640.0,50.0,Belgium,,,,
16,"Jason Weaver, Rowan Atkinson, Laura Williams",Belgium,USWD10321345,Belgium,46392.0,0.052461596916897356,499152.0,0.5644574716387125,884304.0,"I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version",90804.0,50.0,Belgium,,,,
17,Josh Groban,Belgium,USWD11778936,Belgium,61870.0,0.07328901482127288,516442.0,0.6117589363557105,844192.0,Evermore,167348.0,50.0,Belgium,,,,
18,"Mandy Moore, Zachary Levi",Belgium,USWD11054842,Belgium,33820.0,0.040215082915367587,526851.0,0.62647417649451,840978.0,"I See the Light - From ""Tangled""",88065.0,50.0,Belgium,,,,
19,Nick Jonas,Belgium,USWD11038146,Belgium,38703.0,0.04888464496962945,520107.0,0.6569321768653351,791721.0,Introducing Me,149394.0,50.0,Belgium,,,,
20,"Ariana Grande, John Legend",Brazil,USWD11778859,Brazil,2618734.0,0.04393832626999275,46155664.0,0.7744210080291312,59600222.0,Beauty and the Beast,529092.0,50.0,Brazil,,,,
21,Alessia Cara,Brazil,USWD11677601,Brazil,2014836.0,0.049173030231647985,29202886.0,0.7127103129631244,40974412.0,How Far I'll Go - Alessia Cara Version,567378.0,50.0,Brazil,,,,
22,Lifehouse,Brazil,USDW10500001,Brazil,1023500.0,0.03525296369444171,16158320.0,0.5565497492165816,29033020.0,You And Me,183440.0,50.0,Brazil,,,,
23,Elton John,Brazil,GBAMB7100001,Brazil,689784.0,0.030938868884957574,12505041.0,0.5608883707073791,22295062.0,Tiny Dancer,302539.0,50.0,Brazil,,,,
24,"Demi Lovato, Joe Jonas",Brazil,USWD10833742,Brazil,790398.0,0.051827127242083,10645803.0,0.6980551401637516,15250662.0,This Is Me,260589.0,50.0,Brazil,,,,
25,"Demi Lovato, Joe Jonas",Brazil,USWD10833742,Brazil,602208.0,0.051827127242083,8111088.0,0.6980551401637516,11619552.0,"This Is Me - From ""Camp Rock""",198544.0,50.0,Brazil,,,,
26,Idina Menzel,Brazil,USWD11366376,Brazil,486662.0,0.04601256344121807,7778804.0,0.7354646809218737,10576720.0,"Let It Go - From ""Frozen""/Soundtrack Version",249634.0,50.0,Brazil,,,,
27,Idina Menzel,Brazil,USWD11366376,Brazil,331815.0,0.04601256344121807,5303730.0,0.7354646809218737,7211400.0,"Let It Go - From ""Frozen""",170205.0,50.0,Brazil,,,,
