,track_artist,country_name,isrc,region,saves,saves_perc,skips,skips_perc,streams,track_title,users,days_on_playlist,playlist_uri
360,Alessia Cara,Belgium,USWD11677601,Belgium,329954,0.05126797154075517,3512834,0.5458211554925753,6435870,How Far I'll Go - Alessia Cara Version,497496,50,Belgium
361,Elton John,Belgium,GBAMB7100001,Belgium,113693,0.03267196078893418,1314009,0.3776068053820958,3479834,Tiny Dancer,182491,50,Belgium
362,"Ariana Grande, John Legend",Belgium,USWD11778859,Belgium,156630,0.06190683975128177,1971054,0.7790443983855132,2530092,Beauty and the Beast,280554,50,Belgium
363,Idina Menzel,Belgium,USWD11366376,Belgium,124608,0.050230578219226676,1461262,0.5890475345867329,2480720,"Let It Go - From ""Frozen""/Soundtrack Version",183326,50,Belgium
364,Demi Lovato,Belgium,USWD11366344,Belgium,154224,0.09007190614355999,1330776,0.7772171060930996,1712232,"Let It Go - From ""Frozen / Single Version",430056,50,Belgium
365,Idina Menzel,Belgium,USWD11366376,Belgium,84960,0.050230578219226676,996315,0.5890475345867329,1691400,"Let It Go - From ""Frozen""",124995,50,Belgium
366,"Lea Salonga, Brad Kane",Belgium,USWD10423000,Belgium,82400,0.049828412475244534,1020850,0.6173220251863274,1653675,"A Whole New World - From ""Aladdin""",214225,50,Belgium
367,Lifehouse,Belgium,USDW10500001,Belgium,30820,0.02391965727058239,482060,0.3741307587234571,1288480,You And Me,89180,50,Belgium
368,"Lea Salonga, Brad Kane",Belgium,USWD10423000,Belgium,56032,0.049828412475244534,694178,0.6173220251863274,1124499,"A Whole New World - From ""Aladdin"" / Soundtrack Version",145673,50,Belgium
369,"Demi Lovato, Joe Jonas",Belgium,USWD10833742,Belgium,67284,0.0642509074137205,835779,0.7981029538572603,1047207,This Is Me,226821,50,Belgium
370,Auli'i Cravalho,Belgium,USWD11677855,Belgium,47320,0.045339567683581175,519110,0.4973842557105626,1043680,How Far I'll Go,58880,50,Belgium
371,Samuel E. Wright,Belgium,USWD10220463,Belgium,50994,0.04917207623147152,665190,0.6414239594542993,1037052,"Under the Sea - From ""The Little Mermaid""",198360,50,Belgium
372,Dwayne Johnson,Belgium,USWD11677860,Belgium,36880,0.04034392981381408,460330,0.5035661933620671,914140,You're Welcome,55910,50,Belgium
373,Céline Dion,Belgium,USWD11778858,Belgium,74980,0.08257345491388045,535946,0.5902228976697061,908040,How Does A Moment Last Forever,176640,50,Belgium
374,"Jason Weaver, Rowan Atkinson, Laura Williams",Belgium,USWD10321345,Belgium,46392,0.052461596916897356,499152,0.5644574716387125,884304,"I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version",90804,50,Belgium
375,"Lea Salonga, Brad Kane",Belgium,USWD10423000,Belgium,42848,0.049828412475244534,530842,0.6173220251863274,859911,A Whole New World,111397,50,Belgium
376,Josh Groban,Belgium,USWD11778936,Belgium,61870,0.07328901482127288,516442,0.6117589363557105,844192,Evermore,167348,50,Belgium
377,"Mandy Moore, Zachary Levi",Belgium,USWD11054842,Belgium,33820,0.040215082915367587,526851,0.62647417649451,840978,"I See the Light - From ""Tangled""",88065,50,Belgium
378,"Demi Lovato, Joe Jonas",Belgium,USWD10833742,Belgium,51264,0.0642509074137205,636784,0.7981029538572603,797872,"This Is Me - From ""Camp Rock""",172816,50,Belgium
379,Nick Jonas,Belgium,USWD11038146,Belgium,38703,0.04888464496962945,520107,0.6569321768653351,791721,Introducing Me,149394,50,Belgium
520,"Ariana Grande, John Legend",Brazil,USWD11778859,Brazil,2618734,0.04393832626999275,46155664,0.7744210080291312,59600222,Beauty and the Beast,529092,50,Brazil
521,Alessia Cara,Brazil,USWD11677601,Brazil,2014836,0.049173030231647985,29202886,0.7127103129631244,40974412,How Far I'll Go - Alessia Cara Version,567378,50,Brazil
522,Lifehouse,Brazil,USDW10500001,Brazil,1023500,0.03525296369444171,16158320,0.5565497492165816,29033020,You And Me,183440,50,Brazil
523,Elton John,Brazil,GBAMB7100001,Brazil,689784,0.030938868884957574,12505041,0.5608883707073791,22295062,Tiny Dancer,302539,50,Brazil
524,"Demi Lovato, Joe Jonas",Brazil,USWD10833742,Brazil,790398,0.051827127242083,10645803,0.6980551401637516,15250662,This Is Me,260589,50,Brazil
525,"Demi Lovato, Joe Jonas",Brazil,USWD10833742,Brazil,602208,0.051827127242083,8111088,0.6980551401637516,11619552,"This Is Me - From ""Camp Rock""",198544,50,Brazil
