,isrc,score,artist,title,major_label,label_studio,original_release_date,genre_name,parent_genre_name,seed_playlist_uri
1,USIR19100597,1.214336269362921,Primus,Jerry Was A Race Car Driver,Universal Music Canada,UMG,Rock,Rock,2013-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
4,USIR19801982,1.1868575239334656,Marilyn Manson,The Dope Show,Marilyn Manson / Interscope,UMG,Rock,Rock,2004-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
6,USIR19601008,1.170613223709958,Marilyn Manson,Beautiful People,Marilyn Manson / Interscope,UMG,Rock,Rock,1996-10-08,spotify:playlist:7ee2i27Axzde26FoXgNDZF
7,USAM19100282,1.1644839669714488,Soundgarden,Jesus Christ Pose,UMC (Universal Music Catalogue),UMG,Rock,Rock,2011-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
9,USIR19902308,1.154565851460354,Limp Bizkit,Nookie,Interscope,UMG,Rock,Rock,1999-06-22,spotify:playlist:7ee2i27Axzde26FoXgNDZF
11,USGF19580608,1.1537027753336404,White Zombie,More Human Than Human,Rob Zombie (PS),UMG,Heavy Metal,Rock,2003-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
15,USIR19200544,1.1367458197149112,Helmet,Unsung,Universal Music LLC,UMG,Rock,Rock,2017-09-27,spotify:playlist:7ee2i27Axzde26FoXgNDZF
16,USPG19090037,1.1350890875117858,Scorpions,Wind Of Change,Universal Music Division MCA,UMG,Dance,Dance,2017-01-19,spotify:playlist:7ee2i27Axzde26FoXgNDZF
23,USIR29000064,1.1167541353098576,Anthrax,Got the Time,Island Records,UMG,Rock,Rock,1990-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
25,USIR20200226,1.112717954936098,Nine Inch Nails,Head Like a Hole,The Bicycle Music Company,UMG,Rock,Rock,1989-10-20,spotify:playlist:7ee2i27Axzde26FoXgNDZF
