,index,territory,category_id,Position,playlist_uri,playlist_name_x,owner_id,count_appearance,listeners,country_owner,playlist_owner,same_as_country,local,mean_listeners_cat_terr,popular,score
59609,59623,UY,workout,7,spotify:user:spotify:playlist:37i9dQZF1DWSJHnPb1f0X3,Cardio,spotify,58,81385.0,US,spotify,0,0,81223.34042553192,1,1
59922,59936,UY,workout,9,spotify:user:spotify:playlist:37i9dQZF1DWUVpAXiEPK8P,Power Workout,spotify,58,424747.0,US,spotify,0,0,81223.34042553192,1,1
60792,60806,UY,workout,20,spotify:user:spotify:playlist:37i9dQZF1DX0HRj9P7NxeE,Workout Twerkout,spotify,58,146224.0,US,spotify,0,0,81223.34042553192,1,1
61296,61310,UY,workout,8,spotify:user:spotify:playlist:37i9dQZF1DX4eRPd9frC1m,Hype,spotify,58,370971.0,US,spotify,0,0,81223.34042553192,1,1
61484,61498,UY,workout,6,spotify:user:spotify:playlist:37i9dQZF1DX70RN3TfWWJh,Workout,spotify,58,459585.0,US,spotify,0,0,81223.34042553192,1,1
61537,61551,UY,workout,2,spotify:user:spotify:playlist:37i9dQZF1DX76Wlfdnj7AP,Beast Mode,spotify,58,1225461.0,US,spotify,0,0,81223.34042553192,1,1
61914,61928,UY,workout,1,spotify:user:spotify:playlist:37i9dQZF1DX9ZKyQHcEFXZ,Para Entrenar,spotify,17,64842.0,MX,spotify,0,1,81223.34042553192,0,1
62007,62021,UY,workout,34,spotify:user:spotify:playlist:37i9dQZF1DXadOVCgGhS7j,Fun Run 150–165 BPM,spotify,58,97318.0,US,spotify,0,0,81223.34042553192,1,1
62478,62492,UY,workout,3,spotify:user:spotify:playlist:37i9dQZF1DXdxcBWuJkbcy,Motivation Mix,spotify,58,192936.0,US,spotify,0,0,81223.34042553192,1,1
62535,62549,UY,workout,11,spotify:user:spotify:playlist:37i9dQZF1DXe6bgV3TmZOL,Adrenaline Workout,spotify,116,87627.0,US,spotify,0,0,81223.34042553192,1,1
50938,50952,UY,travel,7,spotify:user:spotify:playlist:37i9dQZF1DWU13kKnk03AP,Daily Lift,spotify,58,488813.0,US,spotify,0,0,114719.41666666667,1,1
51117,51131,UY,travel,4,spotify:user:spotify:playlist:37i9dQZF1DWWMOmoXKqHTD,Songs to Sing in the Car,spotify,110,1461873.0,US,spotify,0,0,114719.41666666667,1,1
51154,51168,UY,travel,6,spotify:user:spotify:playlist:37i9dQZF1DWWiDhnQ2IIru,70s Road Trip,spotify,58,190254.0,US,spotify,0,0,114719.41666666667,1,1
51804,51818,UY,travel,5,spotify:user:spotify:playlist:37i9dQZF1DX9wC1KY45plY,Classic Road Trip Songs,spotify,58,276760.0,US,spotify,0,0,114719.41666666667,1,1
52056,52070,UY,travel,16,spotify:user:spotify:playlist:37i9dQZF1DXdcAnM28dnna,Afrobeat Latino,spotify,17,,,,0,1,114719.41666666667,0,1
64989,65003,UY,toplists,15,spotify:user:spotify:playlist:37i9dQZF1DX7kV7MLy24Ug,Éxitos Uruguay,spotify,2,5323.0,UY,spotify,1,1,202476.18181818182,0,2
65043,65057,UY,toplists,1,spotify:user:spotify:playlist:37i9dQZF1DXbbu94YBG7Ye,Éxitos Argentina,spotify,6,455835.0,AR,spotify,0,1,202476.18181818182,1,2
64606,64620,UY,toplists,5,spotify:user:spotify:playlist:37i9dQZF1DWV8ttjhONFA1,Indie Argentina,spotify,15,,,,0,1,202476.18181818182,0,1
64677,64691,UY,toplists,8,spotify:user:spotify:playlist:37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton,spotify,80,710598.0,MX,spotify,0,0,202476.18181818182,1,1
64728,64742,UY,toplists,10,spotify:user:spotify:playlist:37i9dQZF1DX09mi3a4Zmox,Baladas Románticas,spotify,50,309841.0,MX,spotify,0,0,202476.18181818182,1,1
