index	territory	category_id	Position	playlist_uri	playlist_name_x	listeners	country_owner	count_appearance	mean_listeners_cat_terr	same_as_country	local	popular	score
100	UY	workout	8	spotify:user:spotify:playlist:37i9dQZF1DX4eRPd9frC1m	Hype	452955.0	US	58	87462.89361702128	0	0	1	1
877	UY	workout	7	spotify:user:spotify:playlist:37i9dQZF1DWSJHnPb1f0X3	Cardio	89598.0	US	58	87462.89361702128	0	0	1	1
2398	UY	workout	5	spotify:user:spotify:playlist:37i9dQZF1DX70RN3TfWWJh	Workout	444881.0	US	58	87462.89361702128	0	0	1	1
8276	UY	workout	2	spotify:user:spotify:playlist:37i9dQZF1DX76Wlfdnj7AP	Beast Mode	1343212.0	US	58	87462.89361702128	0	0	1	1
29452	UY	workout	1	spotify:user:spotify:playlist:37i9dQZF1DX9ZKyQHcEFXZ	Para Entrenar	65602.0	MX	17	87462.89361702128	0	1	0	1
29692	UY	workout	10	spotify:user:spotify:playlist:37i9dQZF1DWUVpAXiEPK8P	Power Workout	437040.0	US	58	87462.89361702128	0	0	1	1
35557	UY	workout	3	spotify:user:spotify:playlist:37i9dQZF1DXdxcBWuJkbcy	Motivation Mix	251826.0	US	58	87462.89361702128	0	0	1	1
48505	UY	workout	18	spotify:user:spotify:playlist:37i9dQZF1DX0HRj9P7NxeE	Workout Twerkout	155852.0	US	58	87462.89361702128	0	0	1	1
52716	UY	workout	11	spotify:user:spotify:playlist:37i9dQZF1DXe6bgV3TmZOL	Adrenaline Workout	89415.0	US	116	87462.89361702128	0	0	1	1
62509	UY	workout	34	spotify:user:spotify:playlist:37i9dQZF1DXadOVCgGhS7j	Fun Run 150–165 BPM	96859.0	US	58	87462.89361702128	0	0	1	1
5741	UY	whm	18	spotify:user:spotify:playlist:37i9dQZF1DX2QYsoI8NDDe	Mujerones	99530.0	MX	8	38761.42105263158	0	1	1	2
25144	UY	whm	10	spotify:user:spotify:playlist:37i9dQZF1DX1wNY9tfWQsS	Women of R&B	41394.0	US	16	38761.42105263158	0	1	1	2
43005	UY	whm	34	spotify:user:spotify:playlist:37i9dQZF1DWWhBhYl3ZMvY	This Is Rihanna	222129.0	US	9	38761.42105263158	0	1	1	2
47912	UY	whm	29	spotify:user:spotify:playlist:37i9dQZF1DX2oU49YwtXI2	This Is Beyoncé	73758.0	US	10	38761.42105263158	0	1	1	2
48386	UY	whm	8	spotify:user:spotify:playlist:37i9dQZF1DX49poIUZYXp7	Women of Country	48964.0	US	9	38761.42105263158	0	1	1	2
52094	UY	whm	32	spotify:user:spotify:playlist:37i9dQZF1DXc7FZ2VBjaeT	This Is Lady Gaga	143995.0	US	9	38761.42105263158	0	1	1	2
